name,artist,duration_ms
Come As You Are,Nirvana,218920
Певец и актриса,Noize MC,263546
I Am the One,"Vo Williams, DJ Ricky Luna",190967
Shotgun Blues,Volbeat,267826
Let It Die,Ozzy Osbourne,365813
Harder To Breathe,Letdown.,167196
Prism,Lindsey Stirling,212888
Танцующая мышь,Канцлер ГИ,206672
Highway to Hell,AC/DC's Greatest Tribute Band,215500
Луна,Вольный Путь,232310
Warrior,Disturbed,204826
Sovngarde Song,Miracle Of Sound,334988
Vato,Snoop Dogg,284653
Ragnarök,Peyton Parrish,184000
Warning (feat. Jacoby Shaddix),Skindred,230812
Lasso,Moonshine Bandits,180925
Rx (Medicate),Theory of a Deadman,233173
THE BADDEST,"K/DA, (G)I-DLE, Wolftyla",162600
Issues,Escape the Fate,161973
I'm A Dragon,Apashe,390620
Twin Skeleton's (Hotel In NYC),Fall Out Boy,220413
Stunting,DJ Kiss,120058
Blow Up,NEFFEX,240000
Old Town Road - Remix,Lil Nas X,157066
"Uragirino Yuuyake - Theatre Brook - From anime ""Durarara!!""",REI,207019
Can't Hold Us,Blind Channel,232902
Двери Тамерлана,Мельница,209320
Take A Look Around,Limp Bizkit,321040
Tri Martolod,Santiano,198066
Кури бамбук!,Noize MC,151173
The Fear,The Score,183853
PANIC!,Smith & Myers,183450
Sweet True Lies,Beast In Black,206563
Up Among the Heather,The Irish Rovers,160880
Drop,Vin Jay,154565
All We Are,Warlock,200426
Flat On the Floor,Nickelback,122226
All or Nothing,Theory of a Deadman,210560
13 карт - не причёсывай меня!,"Студия ""Феникс""",101886
Ride the Lightning,Warren Zeiders,214133
Ambulance,Theory of a Deadman,207916
One Punch Man - The Hero!! - Main Theme,Geek Music,223500
My Way,Limp Bizkit,272973
POWER,Kanye West,292093
Dragonborn,Jeremy Soule,235636
Ды-Ды-Дым,Kasta,246093
Wait and Bleed,Slipknot,147840
Травушка,Мельница,235386
Устрой дестрой,Noize MC,239506
Stayin' Alive,San Di Ego,280693
Evil,Hollywood Undead,163279
Eshu Tranka Ruas,"Канцлер ГИ, Bregan D'Ert",220120
The Rest Of My Life,Aranda,208720
Растворились в тишине,Сны Бенджамина,255493
Not Gonna Die,Skillet,225280
Still In Da Disco,HEDEGAARD,128113
Get Up,50 Cent,193613
Bad Mother F*cker,Machine Gun Kelly,213960
Animal,"Jim Yosef, RIELL",172503
Доска,Slot,195613
Long Live Rock N Roll,Rainbow,261733
"Whenever, Wherever",Shakira,196160
Черный октябрь,RADIO TAPOK,227386
Call Me,Shinedown,222200
Тор,HELVEGEN,180000
Kannibalen,Apashe,288000
What Goes Around,Bullet Method,217346
Leave It Alone,Disturbed,246826
Welcome To My World,Tommee Profitt,177000
The Look,Roxette,237320
Drank,"Meaux Green, Caked Up",201634
Bad Habits,Rain Paris,224761
